date,precio_alq_castellon,variación_mensual_castellon,variación_trimestral_castellon,variación_anual_castellon
2011-08-01,5.4,0.0,-0.01,-0.05
2011-07-01,5.4,0.0,0.0,-0.07
2011-06-01,5.4,0.0,-0.01,-0.09
2011-05-01,5.4,0.0,-0.01,-0.09
2011-04-01,5.4,-0.01,-0.02,-0.08
2011-03-01,5.4,0.0,-0.03,-0.08
2011-02-01,5.4,-0.01,-0.02,-0.08
2011-01-01,5.5,-0.01,-0.02,-0.07
2010-12-01,5.6,0.0,-0.01,-0.08
2010-11-01,5.6,-0.01,-0.01,-0.08
2010-10-01,5.7,0.0,-0.03,-0.08
2010-09-01,5.7,0.01,-0.04,-0.07
2010-08-01,5.6,-0.03,-0.05,-0.11
2010-07-01,5.8,-0.02,-0.01,-0.08
2010-06-01,5.9,0.0,0.01,-0.06
2010-05-01,5.9,0.01,0.01,-0.06
2010-04-01,5.9,0.0,-0.01,-0.08
2010-03-01,5.9,0.0,-0.03,-0.08
2010-02-01,5.9,-0.01,-0.03,-0.06
2010-01-01,6.0,-0.02,-0.03,-0.05
2009-12-01,6.1,0.0,-0.01,-0.05
2009-11-01,6.1,-0.02,-0.04,-0.05
2009-10-01,6.2,0.01,-0.02,-0.05
2009-09-01,6.1,-0.04,-0.03,-0.07
2009-08-01,6.3,0.01,0.01,-0.06
2009-07-01,6.3,0.0,-0.02,-0.09
2009-06-01,6.3,0.0,-0.01,-0.11
2009-05-01,6.3,-0.02,0.01,-0.11
2009-04-01,6.4,0.01,0.03,-0.03
2009-03-01,6.4,0.02,0.0,-0.06
2009-02-01,6.2,0.0,-0.02,-0.09
2009-01-01,6.3,-0.02,-0.03,-0.13
2008-12-01,6.4,0.0,-0.03,-0.11
2008-11-01,6.4,-0.01,-0.05,-0.13
2008-10-01,6.5,-0.01,-0.07,-0.13
2008-09-01,6.6,-0.03,-0.08,-0.18
2008-08-01,6.7,-0.03,-0.05,-0.13
2008-07-01,7.0,-0.02,0.05,-0.15
2008-06-01,7.1,0.0,0.06,-0.09
2008-05-01,7.1,0.08,0.04,-0.15
2008-04-01,6.6,-0.02,-0.08,-0.1
2008-03-01,6.8,-0.02,-0.06,-0.06
2008-02-01,6.9,-0.05,-0.07,-0.05
2008-01-01,7.2,0.01,-0.04,-0.03
2007-12-01,7.1,-0.03,-0.1,-0.08
2007-11-01,7.3,-0.02,-0.05,-0.06
2007-10-01,7.5,-0.06,-0.09,0.01
2007-09-01,8.0,0.03,0.02,0.08
2007-08-01,7.7,-0.06,-0.07,0.03
2007-07-01,8.2,0.05,0.12,0.05
2007-06-01,7.8,-0.06,0.09,0.0
2007-05-01,8.3,0.13,0.16,0.0
2007-04-01,7.4,0.03,-0.01,0.0
2007-03-01,7.2,0.0,-0.07,0.0
2007-02-01,7.2,-0.03,-0.08,0.0
2007-01-01,7.4,-0.04,0.01,0.0
2006-12-01,7.7,-0.01,0.05,0.0
2006-11-01,7.8,0.06,0.05,0.0
2006-10-01,7.4,0.0,-0.06,0.0
2006-09-01,7.4,-0.01,0.0,0.0
2006-08-01,7.5,-0.04,0.0,0.0
2006-07-01,7.8,0.0,0.0,0.0
2006-06-01,7.8,0.0,0.0,0.0
2006-05-01,7.8,0.0,0.0,0.0
2006-04-01,7.8,0.0,0.0,0.0
2006-03-01,7.8,0.0,0.0,0.0
2006-02-01,7.8,0.0,0.0,0.0
2006-01-01,7.8,0.0,0.0,0.0
