date,total,grupos_ipc
2021-03-01,5.3,vivienda. agua. electricidad. gas y otros combustibles
2021-02-01,-1.0,vivienda. agua. electricidad. gas y otros combustibles
2021-01-01,4.7,vivienda. agua. electricidad. gas y otros combustibles
2020-12-01,0.9,vivienda. agua. electricidad. gas y otros combustibles
2020-11-01,-1.6,vivienda. agua. electricidad. gas y otros combustibles
2020-10-01,-3.4,vivienda. agua. electricidad. gas y otros combustibles
2020-09-01,-0.9,vivienda. agua. electricidad. gas y otros combustibles
2020-08-01,-2.7,vivienda. agua. electricidad. gas y otros combustibles
2020-07-01,-4.1,vivienda. agua. electricidad. gas y otros combustibles
2020-06-01,-3.9,vivienda. agua. electricidad. gas y otros combustibles
2020-05-01,-6.5,vivienda. agua. electricidad. gas y otros combustibles
2020-04-01,-7.5,vivienda. agua. electricidad. gas y otros combustibles
2020-03-01,-5.5,vivienda. agua. electricidad. gas y otros combustibles
2020-02-01,-4.5,vivienda. agua. electricidad. gas y otros combustibles
2020-01-01,-4.7,vivienda. agua. electricidad. gas y otros combustibles
2019-12-01,-6.4,vivienda. agua. electricidad. gas y otros combustibles
2019-11-01,-4.9,vivienda. agua. electricidad. gas y otros combustibles
2019-10-01,-4.6,vivienda. agua. electricidad. gas y otros combustibles
2019-09-01,-6.3,vivienda. agua. electricidad. gas y otros combustibles
2019-08-01,-4.5,vivienda. agua. electricidad. gas y otros combustibles
2019-07-01,-2.6,vivienda. agua. electricidad. gas y otros combustibles
2019-06-01,-2.6,vivienda. agua. electricidad. gas y otros combustibles
2019-05-01,-1.3,vivienda. agua. electricidad. gas y otros combustibles
2019-04-01,2.0,vivienda. agua. electricidad. gas y otros combustibles
2019-03-01,1.9,vivienda. agua. electricidad. gas y otros combustibles
2019-02-01,0.5,vivienda. agua. electricidad. gas y otros combustibles
2019-01-01,2.5,vivienda. agua. electricidad. gas y otros combustibles
2018-12-01,1.8,vivienda. agua. electricidad. gas y otros combustibles
2018-11-01,1.9,vivienda. agua. electricidad. gas y otros combustibles
2018-10-01,3.3,vivienda. agua. electricidad. gas y otros combustibles
2018-09-01,5.4,vivienda. agua. electricidad. gas y otros combustibles
2018-08-01,4.3,vivienda. agua. electricidad. gas y otros combustibles
2018-07-01,3.5,vivienda. agua. electricidad. gas y otros combustibles
2018-06-01,2.3,vivienda. agua. electricidad. gas y otros combustibles
2018-05-01,2.3,vivienda. agua. electricidad. gas y otros combustibles
2018-04-01,0.3,vivienda. agua. electricidad. gas y otros combustibles
2018-03-01,0.6,vivienda. agua. electricidad. gas y otros combustibles
2018-02-01,1.3,vivienda. agua. electricidad. gas y otros combustibles
2018-01-01,-3.2,vivienda. agua. electricidad. gas y otros combustibles
2017-12-01,1.3,vivienda. agua. electricidad. gas y otros combustibles
2017-11-01,2.7,vivienda. agua. electricidad. gas y otros combustibles
2017-10-01,2.4,vivienda. agua. electricidad. gas y otros combustibles
2017-09-01,3.2,vivienda. agua. electricidad. gas y otros combustibles
2017-08-01,3.5,vivienda. agua. electricidad. gas y otros combustibles
2017-07-01,3.5,vivienda. agua. electricidad. gas y otros combustibles
2017-06-01,4.0,vivienda. agua. electricidad. gas y otros combustibles
2017-05-01,6.2,vivienda. agua. electricidad. gas y otros combustibles
2017-04-01,6.2,vivienda. agua. electricidad. gas y otros combustibles
2017-03-01,5.0,vivienda. agua. electricidad. gas y otros combustibles
2017-02-01,6.7,vivienda. agua. electricidad. gas y otros combustibles
2017-01-01,8.9,vivienda. agua. electricidad. gas y otros combustibles
2016-12-01,1.3,vivienda. agua. electricidad. gas y otros combustibles
2016-11-01,-0.1,vivienda. agua. electricidad. gas y otros combustibles
2016-10-01,-0.2,vivienda. agua. electricidad. gas y otros combustibles
2016-09-01,-2.9,vivienda. agua. electricidad. gas y otros combustibles
2016-08-01,-4.6,vivienda. agua. electricidad. gas y otros combustibles
2016-07-01,-6.0,vivienda. agua. electricidad. gas y otros combustibles
2016-06-01,-5.7,vivienda. agua. electricidad. gas y otros combustibles
2016-05-01,-7.0,vivienda. agua. electricidad. gas y otros combustibles
2016-04-01,-7.9,vivienda. agua. electricidad. gas y otros combustibles
2016-03-01,-6.7,vivienda. agua. electricidad. gas y otros combustibles
2016-02-01,-6.6,vivienda. agua. electricidad. gas y otros combustibles
2016-01-01,-6.3,vivienda. agua. electricidad. gas y otros combustibles
2015-12-01,-1.8,vivienda. agua. electricidad. gas y otros combustibles
2015-11-01,-1.9,vivienda. agua. electricidad. gas y otros combustibles
2015-10-01,-4.2,vivienda. agua. electricidad. gas y otros combustibles
2015-09-01,-4.0,vivienda. agua. electricidad. gas y otros combustibles
2015-08-01,-0.9,vivienda. agua. electricidad. gas y otros combustibles
2015-07-01,1.3,vivienda. agua. electricidad. gas y otros combustibles
2015-06-01,0.0,vivienda. agua. electricidad. gas y otros combustibles
2015-05-01,-2.0,vivienda. agua. electricidad. gas y otros combustibles
2015-04-01,-1.2,vivienda. agua. electricidad. gas y otros combustibles
2015-03-01,-1.5,vivienda. agua. electricidad. gas y otros combustibles
2015-02-01,-1.3,vivienda. agua. electricidad. gas y otros combustibles
2015-01-01,0.2,vivienda. agua. electricidad. gas y otros combustibles
2014-12-01,0.1,vivienda. agua. electricidad. gas y otros combustibles
2014-11-01,0.1,vivienda. agua. electricidad. gas y otros combustibles
2014-10-01,1.8,vivienda. agua. electricidad. gas y otros combustibles
2014-09-01,2.8,vivienda. agua. electricidad. gas y otros combustibles
2014-08-01,1.1,vivienda. agua. electricidad. gas y otros combustibles
2014-07-01,1.5,vivienda. agua. electricidad. gas y otros combustibles
2014-06-01,2.5,vivienda. agua. electricidad. gas y otros combustibles
2014-05-01,3.3,vivienda. agua. electricidad. gas y otros combustibles
2014-04-01,2.7,vivienda. agua. electricidad. gas y otros combustibles
2014-03-01,0.5,vivienda. agua. electricidad. gas y otros combustibles
2014-02-01,0.8,vivienda. agua. electricidad. gas y otros combustibles
2014-01-01,1.2,vivienda. agua. electricidad. gas y otros combustibles
